Warm-started from BC checkpoint: models/checkpoints/bc_mlp_gen1.pt
BC KL-anchor attached: models/checkpoints/bc_mlp_gen1.pt (coef 0.05, constant)
Starting PPO training: 5000000 steps | obs_mode=v2 (obs_size=924) | rollout=512 steps | num_envs=8 | device=mps | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/bcft) | checkpoint every 250000 steps | opp_coef=0.1
Value warmup: policy frozen until step 200000
/Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/train.py:247: UserWarning: checkpoint has no 'opp_head'; using a freshly initialized opponent-prediction head (expected for pre-M5 checkpoints)
  opponent = PPOAgent.load(str(path), device=device)
/Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/train.py:247: UserWarning: could not restore optimizer state (loaded state dict contains a parameter group that doesn't match the size of optimizer's group); using a fresh optimizer (expected when loading a pre-M5 checkpoint into the headed agent)
  opponent = PPOAgent.load(str(path), device=device)
Step 28751/5000000 | Win rate (rollout): 0.12 | Loss: 0.257 | Opp label coverage: 0.85
Step 29265/5000000 | Win rate (rollout): 0.10 | Loss: 0.329 | Opp label coverage: 0.89
Step 29777/5000000 | Win rate (rollout): 0.23 | Loss: 0.288 | Opp label coverage: 0.88
Step 30293/5000000 | Win rate (rollout): 0.31 | Loss: 0.309 | Opp label coverage: 0.91
Step 30812/5000000 | Win rate (rollout): 0.18 | Loss: 0.309 | Opp label coverage: 0.89
Step 31324/5000000 | Win rate (rollout): 0.00 | Loss: 0.231 | Opp label coverage: 0.86
Step 31836/5000000 | Win rate (rollout): 0.18 | Loss: 0.270 | Opp label coverage: 0.86
Step 32348/5000000 | Win rate (rollout): 0.33 | Loss: 0.292 | Opp label coverage: 0.88
Step 32860/5000000 | Win rate (rollout): 0.43 | Loss: 0.255 | Opp label coverage: 0.83
Step 33377/5000000 | Win rate (rollout): 0.00 | Loss: 0.205 | Opp label coverage: 0.89
Step 33889/5000000 | Win rate (rollout): 0.10 | Loss: 0.262 | Opp label coverage: 0.81
Step 34401/5000000 | Win rate (rollout): 0.00 | Loss: 0.227 | Opp label coverage: 0.89
Step 34913/5000000 | Win rate (rollout): 0.00 | Loss: 0.219 | Opp label coverage: 0.88
Step 35425/5000000 | Win rate (rollout): 0.22 | Loss: 0.230 | Opp label coverage: 0.83
Step 35942/5000000 | Win rate (rollout): 0.11 | Loss: 0.268 | Opp label coverage: 0.89
Step 36458/5000000 | Win rate (rollout): 0.38 | Loss: 0.365 | Opp label coverage: 0.90
Step 36976/5000000 | Win rate (rollout): 0.15 | Loss: 0.262 | Opp label coverage: 0.89
Step 37493/5000000 | Win rate (rollout): 0.20 | Loss: 0.296 | Opp label coverage: 0.88
Step 38011/5000000 | Win rate (rollout): 0.25 | Loss: 0.299 | Opp label coverage: 0.90
Step 38525/5000000 | Win rate (rollout): 0.17 | Loss: 0.272 | Opp label coverage: 0.89
Step 39040/5000000 | Win rate (rollout): 0.58 | Loss: 0.355 | Opp label coverage: 0.90
Step 39552/5000000 | Win rate (rollout): 0.09 | Loss: 0.271 | Opp label coverage: 0.89
Step 40070/5000000 | Win rate (rollout): 0.15 | Loss: 0.244 | Opp label coverage: 0.88
Step 40589/5000000 | Win rate (rollout): 0.31 | Loss: 0.299 | Opp label coverage: 0.88
Step 41104/5000000 | Win rate (rollout): 0.29 | Loss: 0.311 | Opp label coverage: 0.88
Step 41616/5000000 | Win rate (rollout): 0.33 | Loss: 0.291 | Opp label coverage: 0.83
Step 42128/5000000 | Win rate (rollout): 0.15 | Loss: 0.284 | Opp label coverage: 0.81
Step 42640/5000000 | Win rate (rollout): 0.15 | Loss: 0.254 | Opp label coverage: 0.83
Step 43156/5000000 | Win rate (rollout): 0.25 | Loss: 0.324 | Opp label coverage: 0.89
Step 43675/5000000 | Win rate (rollout): 0.14 | Loss: 0.257 | Opp label coverage: 0.89
Step 44187/5000000 | Win rate (rollout): 0.17 | Loss: 0.272 | Opp label coverage: 0.76
Step 44699/5000000 | Win rate (rollout): 0.17 | Loss: 0.247 | Opp label coverage: 0.78
Step 45214/5000000 | Win rate (rollout): 0.00 | Loss: 0.309 | Opp label coverage: 0.88
