Warm-started from BC checkpoint: models/checkpoints/bc_mlp_gen1_v3.pt
BC KL-anchor attached: models/checkpoints/bc_mlp_gen1_v3.pt (coef 0.05, constant)
Starting PPO training: 5000000 steps | obs_mode=v3 (obs_size=1032) | rollout=512 steps | num_envs=8 | device=mps | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/v3) | checkpoint every 250000 steps | opp_coef=0.1
Value warmup: policy frozen until step 200000
/Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/train.py:260: UserWarning: checkpoint has no 'opp_head'; using a freshly initialized opponent-prediction head (expected for pre-M5 checkpoints)
  opponent = PPOAgent.load(str(path), device=device)
/Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/train.py:260: UserWarning: could not restore optimizer state (loaded state dict contains a parameter group that doesn't match the size of optimizer's group); using a fresh optimizer (expected when loading a pre-M5 checkpoint into the headed agent)
  opponent = PPOAgent.load(str(path), device=device)
Step 28762/5000000 | Win rate (rollout): 0.25 | Loss: 0.327 | Opp label coverage: 0.90
Step 29278/5000000 | Win rate (rollout): 0.36 | Loss: 0.361 | Opp label coverage: 0.91
Step 29790/5000000 | Win rate (rollout): 0.62 | Loss: 0.305 | Opp label coverage: 0.84
Step 30302/5000000 | Win rate (rollout): 0.20 | Loss: 0.314 | Opp label coverage: 0.89
Step 30814/5000000 | Win rate (rollout): 0.45 | Loss: 0.306 | Opp label coverage: 0.78
Step 31326/5000000 | Win rate (rollout): 0.50 | Loss: 0.295 | Opp label coverage: 0.83
Step 31838/5000000 | Win rate (rollout): 0.30 | Loss: 0.316 | Opp label coverage: 0.87
Step 32350/5000000 | Win rate (rollout): 0.31 | Loss: 0.291 | Opp label coverage: 0.83
Step 32862/5000000 | Win rate (rollout): 0.25 | Loss: 0.301 | Opp label coverage: 0.80
Step 33374/5000000 | Win rate (rollout): 0.20 | Loss: 0.311 | Opp label coverage: 0.89
Step 33886/5000000 | Win rate (rollout): 0.45 | Loss: 0.316 | Opp label coverage: 0.79
Step 34399/5000000 | Win rate (rollout): 0.25 | Loss: 0.336 | Opp label coverage: 0.88
Step 34913/5000000 | Win rate (rollout): 0.38 | Loss: 0.269 | Opp label coverage: 0.89
Step 35425/5000000 | Win rate (rollout): 0.15 | Loss: 0.318 | Opp label coverage: 0.82
Step 35937/5000000 | Win rate (rollout): 0.30 | Loss: 0.326 | Opp label coverage: 0.88
Step 36449/5000000 | Win rate (rollout): 0.50 | Loss: 0.362 | Opp label coverage: 0.84
Step 36961/5000000 | Win rate (rollout): 0.44 | Loss: 0.388 | Opp label coverage: 0.91
Step 37479/5000000 | Win rate (rollout): 0.31 | Loss: 0.352 | Opp label coverage: 0.88
Step 37991/5000000 | Win rate (rollout): 0.20 | Loss: 0.289 | Opp label coverage: 0.84
Step 38507/5000000 | Win rate (rollout): 0.38 | Loss: 0.355 | Opp label coverage: 0.89
Step 39025/5000000 | Win rate (rollout): 0.43 | Loss: 0.318 | Opp label coverage: 0.89
Step 39540/5000000 | Win rate (rollout): 0.25 | Loss: 0.301 | Opp label coverage: 0.89
