Warm-started from BC checkpoint: models/checkpoints/bc_mlp_gen1_v3.pt
BC KL-anchor attached: models/checkpoints/bc_mlp_gen1_v3.pt (coef 0.05, constant)
Starting PPO training: 5000000 steps | obs_mode=v3 (obs_size=1032) | rollout=512 steps | num_envs=8 | device=cuda | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/human_pool) | checkpoint every 250000 steps | opp_coef=0.1
Value warmup: policy frozen until step 200000
Step 31337/5000000 | Win rate (rollout): 0.30 | Loss: 0.260 | Opp label coverage: 0.90
Step 31852/5000000 | Win rate (rollout): 0.38 | Loss: 0.296 | Opp label coverage: 0.90
Step 32364/5000000 | Win rate (rollout): 0.38 | Loss: 0.280 | Opp label coverage: 0.84
Step 32876/5000000 | Win rate (rollout): 0.23 | Loss: 0.343 | Opp label coverage: 0.83
Step 33388/5000000 | Win rate (rollout): 0.62 | Loss: 0.312 | Opp label coverage: 0.92
Step 33900/5000000 | Win rate (rollout): 0.56 | Loss: 0.291 | Opp label coverage: 0.92
Step 34412/5000000 | Win rate (rollout): 0.10 | Loss: 0.303 | Opp label coverage: 0.82
Step 34928/5000000 | Win rate (rollout): 0.29 | Loss: 0.280 | Opp label coverage: 0.93
Step 35447/5000000 | Win rate (rollout): 0.38 | Loss: 0.358 | Opp label coverage: 0.91
Step 35960/5000000 | Win rate (rollout): 0.36 | Loss: 0.224 | Opp label coverage: 0.90
Step 36472/5000000 | Win rate (rollout): 0.50 | Loss: 0.281 | Opp label coverage: 0.82
Step 36984/5000000 | Win rate (rollout): 0.33 | Loss: 0.260 | Opp label coverage: 0.93
Step 37496/5000000 | Win rate (rollout): 0.25 | Loss: 0.296 | Opp label coverage: 0.82
Step 38010/5000000 | Win rate (rollout): 0.62 | Loss: 0.307 | Opp label coverage: 0.93
Step 38522/5000000 | Win rate (rollout): 0.45 | Loss: 0.323 | Opp label coverage: 0.84
Step 39035/5000000 | Win rate (rollout): 0.38 | Loss: 0.303 | Opp label coverage: 0.89
Step 39547/5000000 | Win rate (rollout): 0.56 | Loss: 0.302 | Opp label coverage: 0.83
Step 40059/5000000 | Win rate (rollout): 0.36 | Loss: 0.286 | Opp label coverage: 0.79
Step 40571/5000000 | Win rate (rollout): 0.38 | Loss: 0.294 | Opp label coverage: 0.84
Step 41088/5000000 | Win rate (rollout): 0.38 | Loss: 0.255 | Opp label coverage: 0.92
Step 41601/5000000 | Win rate (rollout): 0.36 | Loss: 0.406 | Opp label coverage: 0.92
Step 42119/5000000 | Win rate (rollout): 0.36 | Loss: 0.324 | Opp label coverage: 0.91
Step 42631/5000000 | Win rate (rollout): 0.29 | Loss: 0.268 | Opp label coverage: 0.84
Step 43143/5000000 | Win rate (rollout): 0.38 | Loss: 0.294 | Opp label coverage: 0.82
Step 43655/5000000 | Win rate (rollout): 0.18 | Loss: 0.273 | Opp label coverage: 0.79
Step 44167/5000000 | Win rate (rollout): 0.50 | Loss: 0.347 | Opp label coverage: 0.84
Step 44681/5000000 | Win rate (rollout): 0.56 | Loss: 0.327 | Opp label coverage: 0.91
Step 45193/5000000 | Win rate (rollout): 0.36 | Loss: 0.356 | Opp label coverage: 0.83
Step 45705/5000000 | Win rate (rollout): 0.50 | Loss: 0.278 | Opp label coverage: 0.82
Step 46221/5000000 | Win rate (rollout): 0.71 | Loss: 0.263 | Opp label coverage: 0.93
Step 46733/5000000 | Win rate (rollout): 0.12 | Loss: 0.271 | Opp label coverage: 0.82
Step 47245/5000000 | Win rate (rollout): 0.62 | Loss: 0.338 | Opp label coverage: 0.84
Step 47757/5000000 | Win rate (rollout): 0.12 | Loss: 0.345 | Opp label coverage: 0.81
Step 48269/5000000 | Win rate (rollout): 0.21 | Loss: 0.292 | Opp label coverage: 0.82
Step 48783/5000000 | Win rate (rollout): 0.56 | Loss: 0.317 | Opp label coverage: 0.89
Step 49295/5000000 | Win rate (rollout): 0.11 | Loss: 0.265 | Opp label coverage: 0.82
Step 49809/5000000 | Win rate (rollout): 0.33 | Loss: 0.233 | Opp label coverage: 0.92
Step 50321/5000000 | Win rate (rollout): 0.20 | Loss: 0.313 | Opp label coverage: 0.78
Step 50833/5000000 | Win rate (rollout): 0.24 | Loss: 0.319 | Opp label coverage: 0.80
Step 51345/5000000 | Win rate (rollout): 0.47 | Loss: 0.352 | Opp label coverage: 0.81
Step 51857/5000000 | Win rate (rollout): 0.50 | Loss: 0.270 | Opp label coverage: 0.85
Step 52373/5000000 | Win rate (rollout): 0.12 | Loss: 0.270 | Opp label coverage: 0.92
Step 52891/5000000 | Win rate (rollout): 0.60 | Loss: 0.288 | Opp label coverage: 0.92
Step 53406/5000000 | Win rate (rollout): 0.36 | Loss: 0.266 | Opp label coverage: 0.90
Step 53918/5000000 | Win rate (rollout): 0.29 | Loss: 0.263 | Opp label coverage: 0.79
Step 54430/5000000 | Win rate (rollout): 0.20 | Loss: 0.285 | Opp label coverage: 0.83
Step 54949/5000000 | Win rate (rollout): 0.22 | Loss: 0.291 | Opp label coverage: 0.91
Step 55465/5000000 | Win rate (rollout): 0.64 | Loss: 0.297 | Opp label coverage: 0.90
Step 55977/5000000 | Win rate (rollout): 0.15 | Loss: 0.294 | Opp label coverage: 0.84
Step 56490/5000000 | Win rate (rollout): 0.62 | Loss: 0.428 | Opp label coverage: 0.93
Step 57004/5000000 | Win rate (rollout): 0.70 | Loss: 0.311 | Opp label coverage: 0.93
Step 57516/5000000 | Win rate (rollout): 0.44 | Loss: 0.317 | Opp label coverage: 0.78
Step 58028/5000000 | Win rate (rollout): 0.27 | Loss: 0.325 | Opp label coverage: 0.81
Step 58546/5000000 | Win rate (rollout): 0.38 | Loss: 0.296 | Opp label coverage: 0.91
Step 59058/5000000 | Win rate (rollout): 0.40 | Loss: 0.349 | Opp label coverage: 0.82
Step 59570/5000000 | Win rate (rollout): 0.50 | Loss: 0.290 | Opp label coverage: 0.86
Step 60082/5000000 | Win rate (rollout): 0.38 | Loss: 0.325 | Opp label coverage: 0.81
Step 60594/5000000 | Win rate (rollout): 0.30 | Loss: 0.281 | Opp label coverage: 0.86
Step 61108/5000000 | Win rate (rollout): 0.44 | Loss: 0.307 | Opp label coverage: 0.92
Step 61620/5000000 | Win rate (rollout): 0.44 | Loss: 0.299 | Opp label coverage: 0.91
Step 62137/5000000 | Win rate (rollout): 0.70 | Loss: 0.281 | Opp label coverage: 0.92
Step 62649/5000000 | Win rate (rollout): 0.30 | Loss: 0.319 | Opp label coverage: 0.78
Step 63161/5000000 | Win rate (rollout): 0.21 | Loss: 0.305 | Opp label coverage: 0.80
Step 63674/5000000 | Win rate (rollout): 0.75 | Loss: 0.308 | Opp label coverage: 0.92
Step 64186/5000000 | Win rate (rollout): 0.09 | Loss: 0.297 | Opp label coverage: 0.84
Step 64698/5000000 | Win rate (rollout): 0.62 | Loss: 0.324 | Opp label coverage: 0.79
Step 65210/5000000 | Win rate (rollout): 0.30 | Loss: 0.274 | Opp label coverage: 0.84
Step 65727/5000000 | Win rate (rollout): 0.44 | Loss: 0.296 | Opp label coverage: 0.91
Step 66245/5000000 | Win rate (rollout): 0.50 | Loss: 0.271 | Opp label coverage: 0.92
Step 66757/5000000 | Win rate (rollout): 0.17 | Loss: 0.271 | Opp label coverage: 0.86
Step 67269/5000000 | Win rate (rollout): 0.30 | Loss: 0.300 | Opp label coverage: 0.82
Step 67781/5000000 | Win rate (rollout): 0.43 | Loss: 0.270 | Opp label coverage: 0.83
Step 68293/5000000 | Win rate (rollout): 0.45 | Loss: 0.327 | Opp label coverage: 0.84
Step 68805/5000000 | Win rate (rollout): 0.33 | Loss: 0.327 | Opp label coverage: 0.81
Step 69317/5000000 | Win rate (rollout): 0.40 | Loss: 0.261 | Opp label coverage: 0.84
Step 69831/5000000 | Win rate (rollout): 0.50 | Loss: 0.292 | Opp label coverage: 0.92
Step 70343/5000000 | Win rate (rollout): 0.56 | Loss: 0.270 | Opp label coverage: 0.84
Step 70855/5000000 | Win rate (rollout): 0.44 | Loss: 0.324 | Opp label coverage: 0.83
Step 71367/5000000 | Win rate (rollout): 0.29 | Loss: 0.324 | Opp label coverage: 0.84
Step 71879/5000000 | Win rate (rollout): 0.18 | Loss: 0.312 | Opp label coverage: 0.83
Step 72391/5000000 | Win rate (rollout): 0.17 | Loss: 0.256 | Opp label coverage: 0.87
Step 72903/5000000 | Win rate (rollout): 0.33 | Loss: 0.300 | Opp label coverage: 0.85
Step 73415/5000000 | Win rate (rollout): 0.50 | Loss: 0.293 | Opp label coverage: 0.80
Step 73927/5000000 | Win rate (rollout): 0.33 | Loss: 0.333 | Opp label coverage: 0.84
Step 74446/5000000 | Win rate (rollout): 0.38 | Loss: 0.289 | Opp label coverage: 0.91
Step 74961/5000000 | Win rate (rollout): 0.36 | Loss: 0.278 | Opp label coverage: 0.92
Step 75473/5000000 | Win rate (rollout): 0.30 | Loss: 0.290 | Opp label coverage: 0.92
Step 75985/5000000 | Win rate (rollout): 0.56 | Loss: 0.291 | Opp label coverage: 0.85
Step 76497/5000000 | Win rate (rollout): 0.33 | Loss: 0.310 | Opp label coverage: 0.86
Step 77014/5000000 | Win rate (rollout): 0.62 | Loss: 0.325 | Opp label coverage: 0.93
Step 77532/5000000 | Win rate (rollout): 0.45 | Loss: 0.334 | Opp label coverage: 0.91
Step 78044/5000000 | Win rate (rollout): 0.33 | Loss: 0.335 | Opp label coverage: 0.82
Step 78556/5000000 | Win rate (rollout): 0.73 | Loss: 0.323 | Opp label coverage: 0.82
Step 79068/5000000 | Win rate (rollout): 0.33 | Loss: 0.248 | Opp label coverage: 0.79
Step 79580/5000000 | Win rate (rollout): 0.27 | Loss: 0.336 | Opp label coverage: 0.83
Step 80092/5000000 | Win rate (rollout): 0.22 | Loss: 0.281 | Opp label coverage: 0.91
Step 80604/5000000 | Win rate (rollout): 0.44 | Loss: 0.325 | Opp label coverage: 0.83
Step 81116/5000000 | Win rate (rollout): 0.20 | Loss: 0.303 | Opp label coverage: 0.80
Step 81632/5000000 | Win rate (rollout): 0.43 | Loss: 0.224 | Opp label coverage: 0.92
Step 82144/5000000 | Win rate (rollout): 0.25 | Loss: 0.311 | Opp label coverage: 0.83
Step 82663/5000000 | Win rate (rollout): 0.50 | Loss: 0.263 | Opp label coverage: 0.90
Step 83175/5000000 | Win rate (rollout): 0.00 | Loss: 0.264 | Opp label coverage: 0.83
Step 83687/5000000 | Win rate (rollout): 0.62 | Loss: 0.294 | Opp label coverage: 0.92
Step 84204/5000000 | Win rate (rollout): 0.45 | Loss: 0.259 | Opp label coverage: 0.91
Step 84716/5000000 | Win rate (rollout): 0.27 | Loss: 0.299 | Opp label coverage: 0.82
Step 85232/5000000 | Win rate (rollout): 0.62 | Loss: 0.317 | Opp label coverage: 0.92
Step 85747/5000000 | Win rate (rollout): 0.27 | Loss: 0.302 | Opp label coverage: 0.89
Step 86262/5000000 | Win rate (rollout): 0.36 | Loss: 0.330 | Opp label coverage: 0.90
Step 86774/5000000 | Win rate (rollout): 0.55 | Loss: 0.289 | Opp label coverage: 0.93
Step 87286/5000000 | Win rate (rollout): 0.40 | Loss: 0.291 | Opp label coverage: 0.92
Step 87799/5000000 | Win rate (rollout): 0.44 | Loss: 0.305 | Opp label coverage: 0.93
Step 88311/5000000 | Win rate (rollout): 0.33 | Loss: 0.298 | Opp label coverage: 0.82
Step 88823/5000000 | Win rate (rollout): 0.33 | Loss: 0.332 | Opp label coverage: 0.84
Step 89335/5000000 | Win rate (rollout): 0.39 | Loss: 0.348 | Opp label coverage: 0.82
Step 89847/5000000 | Win rate (rollout): 0.33 | Loss: 0.304 | Opp label coverage: 0.84
Step 90363/5000000 | Win rate (rollout): 0.67 | Loss: 0.288 | Opp label coverage: 0.91
Step 90875/5000000 | Win rate (rollout): 0.33 | Loss: 0.298 | Opp label coverage: 0.84
Step 91392/5000000 | Win rate (rollout): 0.38 | Loss: 0.271 | Opp label coverage: 0.91
Step 91908/5000000 | Win rate (rollout): 0.27 | Loss: 0.298 | Opp label coverage: 0.92
Step 92422/5000000 | Win rate (rollout): 0.50 | Loss: 0.331 | Opp label coverage: 0.92
Step 92934/5000000 | Win rate (rollout): 0.18 | Loss: 0.328 | Opp label coverage: 0.81
Step 93446/5000000 | Win rate (rollout): 0.57 | Loss: 0.290 | Opp label coverage: 0.86
Step 93958/5000000 | Win rate (rollout): 0.45 | Loss: 0.280 | Opp label coverage: 0.81
Step 94470/5000000 | Win rate (rollout): 0.31 | Loss: 0.285 | Opp label coverage: 0.79
Step 94986/5000000 | Win rate (rollout): 0.50 | Loss: 0.263 | Opp label coverage: 0.92
Step 95498/5000000 | Win rate (rollout): 0.43 | Loss: 0.268 | Opp label coverage: 0.80
Step 96010/5000000 | Win rate (rollout): 0.36 | Loss: 0.316 | Opp label coverage: 0.80
Step 96522/5000000 | Win rate (rollout): 0.38 | Loss: 0.336 | Opp label coverage: 0.81
Step 97034/5000000 | Win rate (rollout): 0.44 | Loss: 0.295 | Opp label coverage: 0.85
Step 97546/5000000 | Win rate (rollout): 0.42 | Loss: 0.323 | Opp label coverage: 0.80
Step 98058/5000000 | Win rate (rollout): 0.75 | Loss: 0.299 | Opp label coverage: 0.92
Step 98570/5000000 | Win rate (rollout): 0.22 | Loss: 0.284 | Opp label coverage: 0.84
Step 99082/5000000 | Win rate (rollout): 0.32 | Loss: 0.323 | Opp label coverage: 0.79
Step 99600/5000000 | Win rate (rollout): 0.50 | Loss: 0.316 | Opp label coverage: 0.92
Step 100114/5000000 | Win rate (rollout): 0.45 | Loss: 0.302 | Opp label coverage: 0.91
Step 100626/5000000 | Win rate (rollout): 0.18 | Loss: 0.331 | Opp label coverage: 0.81
Step 101138/5000000 | Win rate (rollout): 0.07 | Loss: 0.293 | Opp label coverage: 0.79
Step 101655/5000000 | Win rate (rollout): 0.44 | Loss: 0.293 | Opp label coverage: 0.90
Step 102167/5000000 | Win rate (rollout): 0.62 | Loss: 0.290 | Opp label coverage: 0.79
Step 102679/5000000 | Win rate (rollout): 0.36 | Loss: 0.295 | Opp label coverage: 0.83
Step 103191/5000000 | Win rate (rollout): 0.18 | Loss: 0.294 | Opp label coverage: 0.79
Step 103703/5000000 | Win rate (rollout): 0.13 | Loss: 0.297 | Opp label coverage: 0.83
Step 104215/5000000 | Win rate (rollout): 0.43 | Loss: 0.297 | Opp label coverage: 0.83
Step 104731/5000000 | Win rate (rollout): 0.38 | Loss: 0.307 | Opp label coverage: 0.91
Step 105243/5000000 | Win rate (rollout): 0.50 | Loss: 0.271 | Opp label coverage: 0.85
Step 105755/5000000 | Win rate (rollout): 0.23 | Loss: 0.312 | Opp label coverage: 0.84
Step 106268/5000000 | Win rate (rollout): 0.29 | Loss: 0.199 | Opp label coverage: 0.93
Step 106780/5000000 | Win rate (rollout): 0.60 | Loss: 0.268 | Opp label coverage: 0.77
Step 107295/5000000 | Win rate (rollout): 0.22 | Loss: 0.254 | Opp label coverage: 0.91
Step 107809/5000000 | Win rate (rollout): 0.27 | Loss: 0.301 | Opp label coverage: 0.89
Step 108321/5000000 | Win rate (rollout): 0.62 | Loss: 0.305 | Opp label coverage: 0.84
Step 108833/5000000 | Win rate (rollout): 0.20 | Loss: 0.254 | Opp label coverage: 0.84
Step 109349/5000000 | Win rate (rollout): 0.45 | Loss: 0.294 | Opp label coverage: 0.91
Step 109861/5000000 | Win rate (rollout): 0.22 | Loss: 0.285 | Opp label coverage: 0.85
Step 110378/5000000 | Win rate (rollout): 0.43 | Loss: 0.310 | Opp label coverage: 0.91
Step 110892/5000000 | Win rate (rollout): 0.50 | Loss: 0.350 | Opp label coverage: 0.90
Step 111404/5000000 | Win rate (rollout): 0.38 | Loss: 0.285 | Opp label coverage: 0.90
Step 111916/5000000 | Win rate (rollout): 0.50 | Loss: 0.267 | Opp label coverage: 0.88
Step 112428/5000000 | Win rate (rollout): 0.36 | Loss: 0.334 | Opp label coverage: 0.82
Step 112940/5000000 | Win rate (rollout): 0.33 | Loss: 0.266 | Opp label coverage: 0.92
Step 113456/5000000 | Win rate (rollout): 0.67 | Loss: 0.305 | Opp label coverage: 0.94
Step 113968/5000000 | Win rate (rollout): 0.11 | Loss: 0.337 | Opp label coverage: 0.83
Step 114480/5000000 | Win rate (rollout): 0.33 | Loss: 0.351 | Opp label coverage: 0.81
Step 114997/5000000 | Win rate (rollout): 0.22 | Loss: 0.292 | Opp label coverage: 0.90
Step 115509/5000000 | Win rate (rollout): 0.33 | Loss: 0.306 | Opp label coverage: 0.89
Step 116021/5000000 | Win rate (rollout): 0.64 | Loss: 0.300 | Opp label coverage: 0.91
Step 116533/5000000 | Win rate (rollout): 0.38 | Loss: 0.292 | Opp label coverage: 0.83
Step 117045/5000000 | Win rate (rollout): 0.57 | Loss: 0.273 | Opp label coverage: 0.91
Step 117560/5000000 | Win rate (rollout): 0.50 | Loss: 0.296 | Opp label coverage: 0.92
Step 118075/5000000 | Win rate (rollout): 0.54 | Loss: 0.331 | Opp label coverage: 0.91
Step 118588/5000000 | Win rate (rollout): 0.25 | Loss: 0.265 | Opp label coverage: 0.90
Step 119100/5000000 | Win rate (rollout): 0.73 | Loss: 0.306 | Opp label coverage: 0.92
Step 119612/5000000 | Win rate (rollout): 0.40 | Loss: 0.302 | Opp label coverage: 0.87
Step 120127/5000000 | Win rate (rollout): 0.25 | Loss: 0.222 | Opp label coverage: 0.91
Step 120639/5000000 | Win rate (rollout): 0.36 | Loss: 0.314 | Opp label coverage: 0.85
Step 121156/5000000 | Win rate (rollout): 0.67 | Loss: 0.288 | Opp label coverage: 0.91
Step 121671/5000000 | Win rate (rollout): 0.45 | Loss: 0.227 | Opp label coverage: 0.92
Step 122189/5000000 | Win rate (rollout): 0.44 | Loss: 0.273 | Opp label coverage: 0.92
Step 122701/5000000 | Win rate (rollout): 0.12 | Loss: 0.287 | Opp label coverage: 0.84
Step 123215/5000000 | Win rate (rollout): 0.33 | Loss: 0.265 | Opp label coverage: 0.91
Step 123728/5000000 | Win rate (rollout): 0.46 | Loss: 0.259 | Opp label coverage: 0.92
Step 124240/5000000 | Win rate (rollout): 0.44 | Loss: 0.288 | Opp label coverage: 0.86
Step 124752/5000000 | Win rate (rollout): 0.38 | Loss: 0.298 | Opp label coverage: 0.82
Step 125269/5000000 | Win rate (rollout): 0.60 | Loss: 0.245 | Opp label coverage: 0.93
Step 125782/5000000 | Win rate (rollout): 0.54 | Loss: 0.163 | Opp label coverage: 0.91
Step 126294/5000000 | Win rate (rollout): 0.58 | Loss: 0.278 | Opp label coverage: 0.91
Step 126809/5000000 | Win rate (rollout): 0.60 | Loss: 0.304 | Opp label coverage: 0.91
Step 127321/5000000 | Win rate (rollout): 0.15 | Loss: 0.325 | Opp label coverage: 0.80
Step 127834/5000000 | Win rate (rollout): 0.75 | Loss: 0.211 | Opp label coverage: 0.92
Step 128349/5000000 | Win rate (rollout): 0.55 | Loss: 0.274 | Opp label coverage: 0.93
Step 128865/5000000 | Win rate (rollout): 0.25 | Loss: 0.267 | Opp label coverage: 0.94
Step 129377/5000000 | Win rate (rollout): 0.17 | Loss: 0.323 | Opp label coverage: 0.84
Step 129889/5000000 | Win rate (rollout): 0.36 | Loss: 0.311 | Opp label coverage: 0.86
Step 130405/5000000 | Win rate (rollout): 0.30 | Loss: 0.305 | Opp label coverage: 0.91
Step 130917/5000000 | Win rate (rollout): 0.44 | Loss: 0.292 | Opp label coverage: 0.87
Step 131432/5000000 | Win rate (rollout): 0.44 | Loss: 0.282 | Opp label coverage: 0.91
Step 131950/5000000 | Win rate (rollout): 0.73 | Loss: 0.300 | Opp label coverage: 0.92
Step 132462/5000000 | Win rate (rollout): 0.31 | Loss: 0.284 | Opp label coverage: 0.90
Step 132975/5000000 | Win rate (rollout): 0.64 | Loss: 0.272 | Opp label coverage: 0.94
Step 133487/5000000 | Win rate (rollout): 0.42 | Loss: 0.326 | Opp label coverage: 0.81
Step 133999/5000000 | Win rate (rollout): 0.20 | Loss: 0.305 | Opp label coverage: 0.79
Step 134511/5000000 | Win rate (rollout): 0.00 | Loss: 0.301 | Opp label coverage: 0.83
Step 135024/5000000 | Win rate (rollout): 0.50 | Loss: 0.348 | Opp label coverage: 0.92
Step 135536/5000000 | Win rate (rollout): 0.33 | Loss: 0.270 | Opp label coverage: 0.85
Step 136048/5000000 | Win rate (rollout): 0.38 | Loss: 0.317 | Opp label coverage: 0.81
Step 136560/5000000 | Win rate (rollout): 0.43 | Loss: 0.351 | Opp label coverage: 0.80
Step 137072/5000000 | Win rate (rollout): 0.29 | Loss: 0.286 | Opp label coverage: 0.82
Step 137590/5000000 | Win rate (rollout): 0.50 | Loss: 0.268 | Opp label coverage: 0.91
Step 138103/5000000 | Win rate (rollout): 0.33 | Loss: 0.229 | Opp label coverage: 0.92
Step 138618/5000000 | Win rate (rollout): 0.60 | Loss: 0.305 | Opp label coverage: 0.93
Step 139133/5000000 | Win rate (rollout): 0.55 | Loss: 0.304 | Opp label coverage: 0.91
Step 139645/5000000 | Win rate (rollout): 0.44 | Loss: 0.292 | Opp label coverage: 0.85
Step 140157/5000000 | Win rate (rollout): 0.14 | Loss: 0.288 | Opp label coverage: 0.86
Step 140669/5000000 | Win rate (rollout): 0.17 | Loss: 0.310 | Opp label coverage: 0.83
Step 141181/5000000 | Win rate (rollout): 0.43 | Loss: 0.373 | Opp label coverage: 0.82
Step 141695/5000000 | Win rate (rollout): 0.29 | Loss: 0.262 | Opp label coverage: 0.92
